$\epsilon$,$p_{\max}$,value,fp_num,name,stability
1.0714285714285714,0.001,0.0,0,S,True
1.0714285714285714,0.001,0.0187328571428571,0,N,True
1.0714285714285714,0.001,0.152142857142857,0,C,True
1.0714285714285714,0.001,,1,H,False
1.0714285714285714,0.001,,1,S,False
1.0714285714285714,0.001,,1,N,False
1.0714285714285714,0.001,,1,C,False
1.0714285714285714,0.001,,2,H,False
1.0714285714285714,0.001,,2,S,False
1.0714285714285714,0.001,,2,N,False
1.0714285714285714,0.001,,2,C,False
1.0714285714285714,0.001,,3,H,False
1.0714285714285714,0.001,,3,S,False
1.0714285714285714,0.001,,3,N,False
1.0714285714285714,0.001,,3,C,False
1.0714285714285714,0.07235714285714286,13.4693877551021,0,H,False
1.0714285714285714,0.07235714285714286,0.0,0,S,False
1.0714285714285714,0.07235714285714286,0.0187328571428571,0,N,False
1.0714285714285714,0.07235714285714286,0.152142857142857,0,C,False
1.0714285714285714,0.07235714285714286,13.4693877551021,1,H,True
1.0714285714285714,0.07235714285714286,6.60315054403714,1,S,True
1.0714285714285714,0.07235714285714286,0.0187328571428571,1,N,True
1.0714285714285714,0.07235714285714286,0.121678321678322,1,C,True
1.0714285714285714,0.07235714285714286,,2,H,False
1.0714285714285714,0.07235714285714286,,2,S,False
1.0714285714285714,0.07235714285714286,,2,N,False
1.0714285714285714,0.07235714285714286,,2,C,False
1.0714285714285714,0.07235714285714286,,3,H,False
1.0714285714285714,0.07235714285714286,,3,S,False
1.0714285714285714,0.07235714285714286,,3,N,False
