$\epsilon$,$f_{\max}$,value,fp_num,name,stability
1.0357142857142858,0.07171428571428572,105.290112278161,3,H,True
1.0357142857142858,0.07171428571428572,21.7193841378215,3,S,True
1.0357142857142858,0.07171428571428572,0.00272727272727273,3,N,True
1.0357142857142858,0.07171428571428572,0.0339124942497672,3,C,True
1.0357142857142858,0.07878571428571429,26.9809610154125,0,H,False
1.0357142857142858,0.07878571428571429,0.0,0,S,False
1.0357142857142858,0.07878571428571429,0.0184114285714285,0,N,False
1.0357142857142858,0.07878571428571429,0.151071428571429,0,C,False
1.0357142857142858,0.07878571428571429,26.9809610154125,1,H,True
1.0357142857142858,0.07878571428571429,65.5129762585275,1,S,True
1.0357142857142858,0.07878571428571429,0.0184114285714285,1,N,True
1.0357142857142858,0.07878571428571429,0.00278275020341741,1,C,True
1.0357142857142858,0.07878571428571429,106.610401384653,2,H,False
1.0357142857142858,0.07878571428571429,67.0404801862550,2,S,False
1.0357142857142858,0.07878571428571429,0.00272727272727273,2,N,False
1.0357142857142858,0.07878571428571429,0.00810646425307959,2,C,False
1.0357142857142858,0.07878571428571429,106.610401384653,3,H,True
1.0357142857142858,0.07878571428571429,21.9917351274476,3,S,True
1.0357142857142858,0.07878571428571429,0.00272727272727273,3,N,True
1.0357142857142858,0.07878571428571429,0.0339124942497690,3,C,True
1.0357142857142858,0.08585714285714285,34.6422628951746,0,H,False
1.0357142857142858,0.08585714285714285,0.0,0,S,False
